"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Force skill training with a hybrid trainer model","H. Esen; Ken'ichi Yano; M. Buss","Institute of Automatic Control Engineering, Technische Universität München, Munich, Germany; Deparment of Mechanical and Systems Engineering, Gifu University, Gifu, Japan; Institute of Automatic Control Engineering, Technische Universität München, Munich, Germany",RO-MAN 2008 - The 17th IEEE International Symposium on Robot and Human Interactive Communication,"15 Aug 2008","2008","","","9","14","In this work, we present novel VR training strategies that incorporate a hybrid trainer model to train force. For modeling the trainer skill, weighted K-means algorithm in parameter space with LS optimization is implemented. The efficiency of the training strategies is verified via user tests in frame of a bone drilling training application. An objective evaluation method based on n dimensional Euclidean distances is introduced to assess user tests results. It is shown that the proposed strategies improve the student skill and accelerate force learning.","1944-9437","978-1-4244-2212-8","10.1109/ROMAN.2008.4600635","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4600635","","Robots","","2","","15","IEEE","15 Aug 2008","","","IEEE","IEEE Conferences"
"Rebuilding Skills Through Collaborative Virtual Reality Drawing: A New Path for Stroke Recovery","S. Oliveira; B. Marques; P. Amorim; B. S. Santos","IEETA, DETI, LASI, University of Aveiro, Aveiro, Portugal; IEETA, DETI, LASI, University of Aveiro, Aveiro, Portugal; CMRRC-Rovisco Pais FCS, University of Beira Interior, Tocha, Portugal; IEETA, DETI, LASI, University of Aveiro, Aveiro, Portugal",2024 IEEE 3rd International Conference on Intelligent Reality (ICIR),"1 May 2025","2024","","","1","8","Conventional rehabilitation methods for stroke rehabilitation face limitations in keeping stroke survivors motivated due to their repetitive and monotonous nature. This lack of engagement can result in physical setbacks and social isolation, as survivors frequently undergo rehabilitation alone, disconnected from others. These isolated experiences further diminish their enthusiasm to continue with therapy, hindering overall recovery. This paper proposes a multi-user Virtual Reality (VR) framework designed for stroke rehabilitation, centering on an immersive drawing experience. The collaborative virtual setting is also designed to encourage participants to perform specific gestures during drawing activities to facilitate upper-limb rehabilitation, with the ultimate goal of enhancing both physical and mental well-being. Additionally, the framework provides healthcare professionals the ability to observe survivors in real time, enabling to modify the rehabilitation process when necessary. This ensures that they can offer immediate support, fostering an encouraging atmosphere for participants immersed in the collaborative drawing sessions. The framework followed a Human-Centered Design (HCD) methodology, incorporating feedback from stroke survivors and healthcare professionals at a rehabilitation center. We conducted an initial user study at the center involving 10 participants, and the results indicate that the collaborative drawing experience fosters motivation, social interaction, and engagement. Furthermore, the drawing techniques were found to be appropriate for stroke survivors, with participants reporting low physical effort, highlighting the framework's suitability for the target population.","","979-8-3315-3442-4","10.1109/ICIR64558.2024.10976842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10976842","Virtual Reality;Stroke Rehabilitation;Collabo-rative Scenarios;Social Interaction;Immersive Drawing","Design methodology;Collaboration;Medical treatment;Atmosphere;Virtual reality;Stroke (medical condition);Real-time systems;Faces","","2","","28","IEEE","1 May 2025","","","IEEE","IEEE Conferences"
"Position Paper: Low-Cost Solutions for Home-Based Healthcare","S. Yamanoor; N. S. Yamanoor","DesignAbly San Jose, CA, USA; DesignAbly Kenmore, NY, USA",2021 International Conference on COMmunication Systems & NETworkS (COMSNETS),"17 Feb 2021","2021","","","709","714","This paper describes approaches to the use of wearables and related monitoring and diagnostic tools to glean and present data to patients and their caregivers in the form of Personal Health Dashboard. Raw data from devices such as fitness watches, blood glucose and blood pressure monitors can be analyzed by machine learning algorithms ensembles over the cloud or at the edge, and the resulting patterns can be presented to allow for actionable responses. The advent of low-cost computational, sensing, monitoring and diagnostic tools allow for cost-effective solutions that can have wide adaptability. The paper draws from prior and ongoing research conducted by the team to present these positions in the advancement of healthcare.","2155-2509","978-1-7281-9127-0","10.1109/COMSNETS51098.2021.9352859","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9352859","Frugal Engineering;Data Analytics;Machine Learning;Healthcare;Dashboarding","Machine learning algorithms;Wearable computers;Medical services;Tools;Sensors;Biomedical monitoring;Monitoring","","2","","43","IEEE","17 Feb 2021","","","IEEE","IEEE Conferences"
"Virtual Frontiers Navigating the Impact and Potential of AR and VR","C. M. Varun; R. P. Anto Kumar; E. Gokila; S. Gayathri; M. Nalini; R. Siva Subramanian","Dept of Computer Science and Business Systems, R.M.K. Engineering College, Kavaraipettai; Dept: of CSE, St. Xavier’s Catholic College of Engineering; Vel Tech Rangarajan Dr.Sagunthala R&D Institute of science and technology and technology; Dept of CSE, S.A Engineering College, Chennai; Dept of CSE, S.A Engineering College; Dept of CSE, RMK College of Engg and Tech",2024 2nd International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS),"28 Nov 2024","2024","","","1559","1565","This research study aims to investigate the two rapidly growing fields of Augmented Reality and Virtual Reality from their technical aspect, possible uses, issues, and evolution. AR and VR are innovations that have experienced a massive advancement and are prevalent across the entertainment industry and the learning process, healthcare, industries, and more. The study defines the basic concepts and the physical components that form the basis of AR and VR. It then goes over specific examples, using AR in the context of interactive education and its social impact as well as in operations such as surgeries and in factory maintenance while demonstrating the applications of VR in gaming, education and as a therapy tool. A fundamental question of the examined technologies, which is primarily discussed in the paper, includes the distinct challenges it encountered the hardware constraints of the solutions, the problems related to UX and UI, and the privacy-related concerns. Moreover, it covers the morality and social impact of the integration of AR and VR into society. Finally, examining the future directions of the survey, it is revealed that possible technologies and research areas for the next generation of AR and VR applications are discussed. Consequently, this overview seeks to present useful recommendations regarding the current status of four AR and VR technologies and their possible future developments.","","979-8-3503-6841-3","10.1109/ICSSAS64001.2024.10760749","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10760749","Virtual Reality;Augmented Reality;Technology;Gamimg;Education","Training;Ethics;Technological innovation;Entertainment industry;Surgery;Virtual environments;Market research;Hardware;Artificial intelligence;Augmented reality","","2","","15","IEEE","28 Nov 2024","","","IEEE","IEEE Conferences"
"HandyNotes: using the hands to create semantic representations of contextually aware real-world objects","C. Quere; A. Menin; R. Julien; H. -Y. Wu; M. Winckler","CNRS, Inria, I3S, Université Côte d’Azur, Sophia-Antipolis, France; CNRS, Inria, I3S, Université Côte d’Azur, Sophia-Antipolis, France; CNRS, Inria, I3S, Université Côte d’Azur, Sophia-Antipolis, France; Inria, Université Côte d’Azur, Sophia-Antipolis, France; CNRS, Inria, I3S, Université Côte d’Azur, Sophia-Antipolis, France",2024 IEEE Conference Virtual Reality and 3D User Interfaces (VR),"15 Apr 2024","2024","","","265","275","This paper uses Mixed Reality (MR) technologies to provide a seamless integration of digital information in physical environments through human-made annotations. Creating digital annotations of physical objects evokes many challenges for performing (simple) tasks such as adding digital notes and connecting them to real-world objects. For that, we have developed an MR system using the Microsoft HoloLens2 to create semantic representations of contextually-aware real-world objects while interacting with holographic virtual objects. User interaction is enhanced with use of fingers as placeholders for menu items. We demonstrate our approach through two real-world scenarios. We also discuss the challenges for using MR technologies.","2642-5254","979-8-3503-7402-5","10.1109/VR58804.2024.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494192","Human-centered computing;Human computer interaction (HCI);Interaction paradigms;Mixed / augmented reality;Interaction techniques;Gestural input;Graphical user interfaces","Three-dimensional displays;Annotations;Semantics;Mixed reality;Virtual reality;User interfaces;Task analysis","","2","","47","IEEE","15 Apr 2024","","","IEEE","IEEE Conferences"
"Performance evaluation of networked virtual reality services in a gprs network","I. Perovic; Lea Skorin-Kapov; D. Vilendecic","Core Network Department, VIPNet d.o.o., Zagreb, Croatia; Ericsson Nikola Tesla, Research and Development Center, Zagreb, Croatia; Department of Telecommunications, University of Zagreb, Zagreb, Croatia","Proceedings of the 7th International Conference on Telecommunications, 2003. ConTEL 2003.","2 May 2005","2003","1","","359","366","","","953-184-052-0","10.1109/CONTEL.2003.176932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214669","","Virtual reality;Intelligent networks;Ground penetrating radar;Quality of service;Packet radio networks;Web and internet services;Performance evaluation;Delay;Jitter;Resource management","","2","","15","","2 May 2005","","","IEEE","IEEE Conferences"
"A next generation collaborative system for micro devices assembly","J. Cecil; R. Gunda; A. Cecil-Xavier","Computer Science Department, Oklahoma State University (OSU), Stillwater, Ok; Computer Science Department, Oklahoma State University (OSU), Stillwater, Ok; Eagle Program, Stillwater High School & Soaring, Stillwater, Ok",2017 Annual IEEE International Systems Conference (SysCon),"29 May 2017","2017","","","1","8","This paper discusses the development of an advanced collaborative system to support the assembly of micro devices. The overall system Virtual Reality based assembly analysis environment (VAE) which is part of a larger collaborative framework for the emerging domain of Micro Devices Assembly (MDA). MDA involves the assembly of micron sized devices which cannot be manufactured by Micro electro mechanical systems (MEMS) technologies. The VAE is comprised of several modules including an assembly plan generator, path planner and a network based cyber physical interface which allows it to support collaboration involving distributed users. As the current Internet has several limitations, a major initiative is underway to develop the Next Generation Internet frameworks which can reduce latency, increase the bandwidth of data exchange and support distributed collaboration. VAE has been implemented as part of a national initiative aimed at exploring Next Generation Internet technologies.","2472-9647","978-1-5090-4623-2","10.1109/SYSCON.2017.7934715","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7934715","VR simulation;distributed collaborative environment;micro devices assembly;next generation network;internet of things","Collaboration;Manufacturing;Planning;Production facilities;Cloud computing;Solid modeling","","2","","37","IEEE","29 May 2017","","","IEEE","IEEE Conferences"
"AR-Chat: an AR-based instant messaging system","P. Jouet; V. Alleaume; A. Laurent; M. Fradet; T. Luo; C. Baillard","InterDigital, Rennes, France; InterDigital, Rennes, France; InterDigital, Rennes, France; InterDigital, Rennes, France; InterDigital, Rennes, France; InterDigital, Rennes, France",2020 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct),"16 Dec 2020","2020","","","153","157","We describe a multi-user system enabling instant messaging in Augmented Reality. A user can get in contact with another one without requiring his/her identification number and can easily localize the person initiating the contact. It is also possible to exchange various types of personal information in a private manner. This innovative type of social interaction can significantly increase consumer interest for AR experiences.","","978-1-7281-7675-8","10.1109/ISMAR-Adjunct51615.2020.00050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9288380","Human-centered computing;Human computer interaction (HCI);Interaction paradigms;Mixed / augmented reality;Computer systems organization;Architectures;Distributed architectures;Client-server architectures","Solid modeling;Three-dimensional displays;Protocols;Prototypes;Instant messaging;Servers;Augmented reality","","2","","16","IEEE","16 Dec 2020","","","IEEE","IEEE Conferences"
"Comparing Avatar and Face-to-Face Collaboration in VR Education: Concept and Preliminary Insights","A. Mayer; K. Kastner; J. Reichwald; J. -R. Chardonnet; J. Ovtcharova","Information Management in Engineering, Karlsruhe Institute of Technology, Karlsruhe, Germany; Virtual Engineering Competence Center, Mannheim University of Applied Sciences, Mannheim, Germany; Virtual Engineering Competence Center, Mannheim University of Applied Sciences, Mannheim, Germany; Arts et Metiers Institute of Technology, LISPEN, HESAM Université, Chalon-sur-Saône, France; Information Management in Engineering, Karlsruhe Institute of Technology, Karlsruhe, Germany",2023 IEEE 2nd German Education Conference (GECon),"31 Oct 2023","2023","","","1","5","Virtual education is gaining prominence, providing opportunities for dynamic interactive content, such as Digital Twins, and novel collaboration modalities, including options for remote classrooms. In this work, we present a concept that leverages Digital Twins for interactive group work in engineering education through the use of Virtual Reality technology. We propose an experimental investigation to compare diverse collaboration alternatives facilitated by Virtual Reality, specifically face-to-face and avatar-based interaction. Preliminary findings are discussed, along with their implications for the design and implementation of future experiments in this emerging field.","","979-8-3503-4813-2","10.1109/GECon58119.2023.10295113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10295113","collaboration;digital twins;education;virtual reality","Avatars;Collaboration;Digital twins;Engineering education","","1","","23","IEEE","31 Oct 2023","","","IEEE","IEEE Conferences"
"Large-Scale Stereo Display Wall Using Programmable Graphics Hardware","I. -J. Kim; S. C. Ahn; H. -G. Kim","KIST, Imaging Media Research Center, Seoul, South Korea; KIST, Imaging Media Research Center, Seoul, South Korea; KIST, Imaging Media Research Center, Seoul, South Korea","2008 3DTV Conference: The True Vision - Capture, Transmission and Display of 3D Video","20 Jun 2008","2008","","","173","176","In this paper, we present an large-scale stereo display wall system for tangible telemeeting using programmable graphics hardware. For tangible telemeeting, it is important to provide immersive display with high resolution image to cover up the field of view and provide to the local user the same environment as that of remote site. To achieve these, a high resolution image needs to be transmitted for reconstruction of remote world, and it should be displayed using a large display. However, it is hard to transmit high resolution image in real time due to the limit of network bandwidth, and so we receive multiple images and reconstruct a remote world with received images in advance. Then, we update only a specific area where remote user exists by receiving low resolution image in real-time. We synthesize the transmitted image to the existing environmental map of remote world and display it as a stereo image. For this, we developed a new system which supports GPU based real time warping, blending and automatic feature extraction using machine vision technique.","2161-203X","978-1-4244-1760-5","10.1109/3DTV.2008.4547836","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4547836","large-scale display;GPU;stereo display","Large-scale systems;Displays;Graphics;Hardware;Image resolution;Image reconstruction;Bandwidth;Network synthesis;Real time systems;Feature extraction","","1","","8","IEEE","20 Jun 2008","","","IEEE","IEEE Conferences"
"Review of Virtual Reality Integration for Safer and Efficient Mining Operations","N. K. B. Akbulut; A. Anani; S. O. Adewuyi","Department of Mining and Geological Engineering, The University of Arizona, Tucson, AZ, USA; Department of Mining and Geological Engineering, The University of Arizona, Tucson, AZ, USA; Department of Mining and Geological Engineering, The University of Arizona, Tucson, AZ, USA",IEEE Access,"25 Feb 2025","2025","13","","34177","34199","Mining is a complex, multifaceted industry that requires ongoing adaptation. The integration of Virtual Reality (VR) offers promising solutions to some of the industry’s key challenges, such as the need for safety simulations and task training for harsh working conditions, data analysis, remote operations, and many more. VR, as part of the broader Extended Reality (XR) framework, provides immersive environments that enable users to experience scenarios that may be costly and dangerous to replicate or that are not possible to replicate in the real world. However, despite the potential of VR, there is a limited comprehensive review of its applications within the mining sector, particularly in recent years. This paper presents a literature review focused on VR’s use in mining, aiming to provide answers to the extent of VR-related publications over the years, current use areas of VR in the industry, existing research gaps, and potential future applications. By examining the state of VR in mining, this review seeks to offer a roadmap for future research and development, highlighting areas where VR can significantly enhance education, safety, operational processes, and more.","2169-3536","","10.1109/ACCESS.2025.3541724","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10884748","Virtual reality (VR);training;higher education;immersive analytics (IA);digital twins;outreach and communications","Virtual environments;Mining industry;Headphones;Virtual reality;Resists;Safety;Hardware;Data mining;Three-dimensional displays;Training","","1","","110","CCBY","13 Feb 2025","","","IEEE","IEEE Journals"
"Representations of bodily interaction on networked ""Lazy Susan""","S. Wesugi; K. Ishikawa; T. Katayama; Y. Miwa","Graduate School of Science and Engineering, Waseda University, Shinjuku, Tokyo, Japan; Graduate School of Science and Engineering, Waseda University, Shinjuku, Tokyo, Japan; Graduate School of Science and Engineering, Waseda University, Shinjuku, Tokyo, Japan; Faculty of Science and Engineering, Waseda University, Shinjuku, Tokyo, Japan",Proceedings 2003 IEEE International Symposium on Computational Intelligence in Robotics and Automation. Computational Intelligence in Robotics and Automation for the New Millennium (Cat. No.03EX694),"18 Aug 2003","2003","1","","223","228 vol.1","In order to support a virtual community from the view-point of trust and secure feeling, a co-existing space where people feel as if they are collocated should be supported to create a communicable situation. For creating a virtual co-existing space between remote places, we develop a telecommunication system, which consists of a bodily interaction system (networked ""Lazy Susan""), which includes a round, rotatable disk, the rotations of which are synchronized with the remote disk, and a video projection system, which represents remote participants and local self in one synthesized video image for sharing the tabletop at each site. This shared tabletop is promising for supporting remote collaborative work.","","0-7803-7866-0","10.1109/CIRA.2003.1222093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1222093","","Video sharing;Collaborative work;Network synthesis;Space technology;Internet;Communications technology;Context","","1","","14","IEEE","18 Aug 2003","","","IEEE","IEEE Conferences"
"Virtual Animal Embodiment for Actor Training","A. Jovane; D. Egan; M. F. Vargas; S. Mythen; R. McDonnell","Trinity College, Dublin; Trinity College, Dublin; Trinity College, Dublin; The Lir - National Academy of Dramatic Art; Trinity College, Dublin",2024 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),"29 May 2024","2024","","","428","431","In this work-in-progress paper, we discuss the development of a real-time system allowing actors to drive the motion of an animal avatar, our test case being a photorealistic eagle. The aim of the work is to enhance actor training for studies related to the connection between the mind and body, imagination and action. In our proposed perceptual experiments, we plan to assess the quality of experience for the actors and also if there is a performance improvement due to the embodiment.","","979-8-3503-7449-0","10.1109/VRW62533.2024.00083","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10536547","Human-centered computing-Interaction design-Epirical studies in interaction design;Human-centered computing-Interaction paradigms-Virtual reality","Training;Three-dimensional displays;Animals;Conferences;Avatars;User interfaces;Drives","","1","","28","IEEE","29 May 2024","","","IEEE","IEEE Conferences"
"Traces in Virtual Environments: A Framework and Exploration to Conceptualize the Design of Social Virtual Environments","L. Hirsch; C. George; A. Butz","LMU Munich, Germany; University of Augsburg, Germany; LMU Munich, Germany",IEEE Transactions on Visualization and Computer Graphics,"21 Oct 2022","2022","28","11","3874","3884","Creating social Virtual Environments (VEs) is an ongoing challenge. Traces of prior human interactions, or traces of use, are used in Physical Environments (PEs) to create more meaningful relationships with the PE and the people within it. In this paper, we explore how the concept of traces of use can be transferred from PEs to VEs to increase known success factors for social VEs, such as increased social presence. First, we introduce a conceptualization and discussion ($N=4$ expert interviews) of a “Traces in VEs” framework. Second, we evaluate the framework in two lab studies ($N=46$ in total), exploring the effect of traces in (i) VE vs. PE, and (ii) on social presence. Our findings confirm that traces increase the feeling of social presence. However, their meaning may differ depending on the environment. Our framework offers a structured overview of relevant components and relationships that need to be considered when designing meaningful user experiences in VE using traces. Thus, our work is valuable for practitioners and researchers who systematically want to create social VEs.","1941-0506","","10.1109/TVCG.2022.3203092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9873959","traces;traces of use;asynchronous;social VE;framework;social presence","Visualization;Shape;Interviews;Games;Behavioral sciences;User experience;Navigation","Humans;Computer Graphics;Emotions;Environment;User-Computer Interface","1","","79","IEEE","1 Sep 2022","","","IEEE","IEEE Journals"
"Virtual reality and learning by design: tools for integrating mechanical engineering concepts","T. Impelluso; T. Metoyer","Department of Mechanical Engineering, San Diego State University, San Diego, CA, USA; Department of Mechanical Engineering, San Diego State University, San Diego, CA, USA",30th Annual Frontiers in Education Conference. Building on A Century of Progress in Engineering Education. Conference Proceedings (IEEE Cat. No.00CH37135),"6 Aug 2002","2000","2","","F3C/14","F3C/19 vol.2","The Department of Mechanical Engineering at San Diego State University has begun to re-design its introductory mechanical engineering courses. The objectives of these newly designed courses are to incorporate the learner as designer strategy and to positively impact students' conceptual understanding of mechanical engineering concepts. To achieve these objectives, the courses are designed to use virtual reality as a tool that integrates the fundamental concepts of design, analysis and manufacturing. The first implementation of one of these courses afforded an opportunity to study a particular type of learner as designer strategy, the learner as instructional designer strategy. This paper describes the course and the impact of the learner as instructional designer strategy on students' conceptual understanding of and attitude towards mechanical engineering concepts.","0190-5848","0-7803-6424-4","10.1109/FIE.2000.896573","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=896573","","Virtual reality;Mechanical engineering;Stress;Design engineering;Engineering students;Solid modeling;Finite element methods;Packaging;Manufacturing;Context","","1","","16","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"ISE-intelligent synthesis environment for future aerospace systems","A. K. Noor; S. L. Venneri","Center for Advanced Computational Technology, University of Virginia NASA Langley Research Center, Hampton, VA, USA; NASA Headquarters, Washington D.C., DC, USA",1998 IEEE Aerospace Conference Proceedings (Cat. No.98TH8339),"6 Aug 2002","1998","2","","467","486 vol.2","The Intelligent Synthesis Environment (ISE) being developed by NASA, UVA and JPL for significantly enhancing the rapid creation of innovative affordable products and missions is described. ISE uses a synergistic combination of leading-edge technologies, including high-performance computing, high-capacity communications and networking, virtual product development, knowledge-based engineering, computational intelligence, human-computer interaction, and product information management. The environment will link scientists, design teams, manufacturers, suppliers and consultants who participate in the mission synthesis, as well as in the creation and operation of the aerospace system. It will radically advance the process by which complex science missions are synthesized, and high-tech engineering systems are designed, manufactured and operated. The evolution of engineering design is described along with the shortcomings of current product development techniques. The need for ISE to create high-science payoff missions and aerospace systems at affordable costs is discussed. The five major components critical to ISE and some of their subelements are described; namely, human-ISE interaction; infrastructure for distributed collaboration; rapid synthesis and simulation tools; intelligent life-cycle system integration; and cultural change in the creative process. Related government and industry programs are outlined and future impact of ISE on complex missions and aerospace systems is discussed.","1095-323X","0-7803-4311-5","10.1109/AERO.1998.687931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=687931","","Network synthesis;Aerospace engineering;Aerospace industry;Intelligent systems;Computational intelligence;Competitive intelligence;Product development;Design engineering;NASA;Space technology","","1","","10","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Towards the control room of the future","D. Wenn; R. Mitchell; M. Gabb","Department of Cybernetics, University of Reading, Reading, UK; Department of Cybernetics, University of Reading, Reading, UK; National Grid Company Public Limited Company, Wokingham, UK","2001 People in Control. The Second International Conference on Human Interfaces in Control Rooms, Cockpits and Command Centres","7 Aug 2002","2001","","","79","85","The National Grid Company PLC (NGC) is responsible for the development, operation and maintenance of the electricity transmission system in England and Wales. As such it has a statutory duty to deliver safe and reliable electricity supplies to the Regional Electricity Companies (REC) and some other large consumers. The network currently has nearly 14,000 circuit kilometres of overhead lines, 21,812 towers and 323 substations. With such a large network advanced systems are required to present and manage the information in real-time. The control room of the future (CRF) project is centred on researching technologies that could aid the system operators and that can be brought online in the 10-15 year time-scale. The CRF project is constructing a virtual control room that will allow the seamless integration and testing of advanced display devices whilst at the same time keeping them in context with the existing, real, environment. This paper describes some of the issues involved in designing such a virtual control room and presents an approach that allows for multimodal interfaces to be tested within this environment. Since the research at this stage is in its early phase a mixture of demonstrated results and plausible ideas for future systems are presented.","0537-9989","0-85296-742-X","10.1049/cp:20010437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=942716","","","","1","","","","7 Aug 2002","","","IET","IET Conferences"
"Presence and Communication in Hybrid Virtual and Augmented Reality Environments","Y. Li; E. Ch'ng; S. Cobb; S. See",Department of Computing School of Advanced Technology Xi'an Jiaotong--Liverpool University Suzhou China; NVIDIA Joint-Lab on Mixed Reality University of Nottingham Ningbo China; Human Factors Research Group Faculty of Engineering University of Nottingham United Kingdom; NVIDIA AI Technology Centre NVIDIA Singapore,Presence,"4 Dec 2024","2019","28","","29","52","","1054-7460","","10.1162/pres_a_00340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10778240","","","","1","","","","4 Dec 2024","","","MIT Press","MIT Press Journals"
"A Scoping Review and Expert Recommendations for Immersive Solutions towards Predictive Maintenance","R. Guarese; M. G. Khan; D. Lassiter; J. Vachier; F. Johnson; B. Edvinsson; A. Bergman; X. V. Wang; M. Romero","KTH Royal Institute of Technology, Sweden; KTH Royal Institute of Technology, Sweden; AstraZeneca, Sweden; AstraZeneca, Sweden; AstraZeneca, Sweden; AstraZeneca, Sweden; AstraZeneca, Sweden; KTH Royal Institute of Technology, Sweden; Linköping University, Sweden",2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),"24 Apr 2025","2025","","","1081","1088","Under an industrial-academic partnership project, the present work aims to map and catalog the different applications of Augmented and Virtual Reality in predictive maintenance (PdM) practices. Through a preliminary scoping review, we targeted two main digital libraries in computing and engineering. Thus, we address the key attributes regarding the types of immersive technologies and the solutions used in several industries for PdM. By categorizing the surveyed prototypes according to 10 parameters in their interaction, visualization, and research methods, we expose the state-of-the-art and valuable knowledge gaps within immersive PdM. After this analysis, we conducted a workshop with 3 manufacturing experts discussing the future of maintenance interfaces, bringing forth their feedback in the shape of recommendations for what to further explore within immersive PdM.","","979-8-3315-1484-6","10.1109/VRW66409.2025.00217","AstraZeneca; KT; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10972714","Predictive maintenance;augmented and mixed reality;virtual reality;situated visualization;collaborative interfaces","Visualization;Three-dimensional displays;Reviews;Shape;Conferences;Prototypes;Mixed reality;Virtual reality;User interfaces;Predictive maintenance","","1","","66","IEEE","24 Apr 2025","","","IEEE","IEEE Conferences"
"A Scientometric History of IEEE VR","R. Skarbez; D. Jiang",La Trobe University; La Trobe University,2024 IEEE Conference Virtual Reality and 3D User Interfaces (VR),"15 Apr 2024","2024","","","990","999","As of IEEE VR 2023, there have been 30 installments of the IEEE Virtual Reality conference (VR) or its predecessor, the Virtual Reality Annual International Symposium (VRAIS). As such, it seems an opportune time to reflect on the intellectual history of the conference, and by extension, the VR research community. This article uses scientometric techniques to undertake such an intellectual history, using co-word analysis and citation analysis to identify core themes and trends in VR research over time. We identify the papers that have stood the test of time, the most esteemed authors and researchers in the IEEE VR community, and the topics that have shaped our field to date.","2642-5254","979-8-3503-7402-5","10.1109/VR58804.2024.00118","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494072","bibliometrics;scientometrics;history;survey;General and reference;Surveys and overviews;Social and professional topics;History of computing;Human-centered computing;Virtual reality","Visualization;Three-dimensional displays;Citation analysis;Virtual reality;User interfaces;Motors;Rendering (computer graphics)","","1","","25","IEEE","15 Apr 2024","","","IEEE","IEEE Conferences"
"Designing and Analyzing Virtual Avatar Based on Rigid-Body Tracking in Immersive Virtual Environments","M. Park; J. Lee; H. Yang; J. Kim","Department of Computer Engineering, Graduate School, Hansung University, Seoul, South Korea; Department of Information and Computer Engineering, Graduate School, Hansung University, Seoul, South Korea; Department of Computer Engineering, Graduate School, Hansung University, Seoul, South Korea; Department of Computer Engineering, Graduate School, Hansung University, Seoul, South Korea",IEEE Access,"9 Jan 2025","2025","13","","5522","5533","This study proposes a novel method for virtual avatar applications based on rigid-body tracking in immersive virtual environments (IVEs). This method aims to design a method to efficiently and accurately estimate motions defined with few conditions. For this purpose, we design a virtual avatar motion process that proceeds from rigid-body tracking to motion estimation using Final IK (inverse kinematics). This study uses optical motion capture equipment based on markers for rigid-body tracking and calculating the movement of a defined virtual avatar based on the transformation information of the precisely tracked rigid-body object. To analyze the effectiveness of the proposed method, a comparative analysis of equipment and environment with existing research on animation fidelity in self-avatars is performed. In addition, two upper body-centered actions (simultaneous two-hand motion and separate two-hand motion) are presented to analyze latent factors of virtual avatar embodiment. A comparative survey experiment using the virtual embodiment questionnaire (VEQ) is conducted based on full-body tracking and the proposed rigid-body tracking-based method. Furthermore, to compare and analyze users’ realism in an environment where they coexist with virtual avatars in IVE, a survey experiment using a presence questionnaire is conducted. Therefore, we confirmed that similar avatar motion generation is possible compared to full-body tracking even with fewer tracking targets (e.g. type of tracking device or number of markers), inputs, and processing steps. Additionally, it is possible to design a virtual avatar that provides satisfactory realism in IVE.","2169-3536","","10.1109/ACCESS.2025.3525630","Hansung University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10824787","Virtual avatar;immersive virtual environment;rigid-body tracking;motion estimation;motion capture;virtual embodiment","Avatars;Accuracy;Target tracking;Animation;Motion capture;Motion estimation;Hands;Optical sensors;Visualization;Resists","","1","","44","CCBYNCND","3 Jan 2025","","","IEEE","IEEE Journals"
